Date,BITO,GLD,SPY,TLT
2022-05-04,23.795862197875977,175.8000030517578,421.9117431640625,115.70489501953125
2022-05-05,21.633472442626953,175.1300048828125,406.91583251953125,112.53475952148438
2022-05-06,21.422971725463867,175.4199981689453,404.4869689941406,110.87654876708984
2022-05-09,18.39945411682129,172.8800048828125,391.5364074707031,111.85196685791016
2022-05-10,18.600383758544922,171.4199981689453,392.4410400390625,112.86641693115234
2022-05-11,17.394804000854492,172.82000732421875,386.20672607421875,115.04161071777344
2022-05-12,16.94510269165039,170.1699981689453,385.80352783203125,114.8270263671875
2022-05-13,17.87320899963379,168.7899932861328,395.0272521972656,113.12977600097656
2022-05-16,17.528757095336914,170.39999389648438,393.4244079589844,113.01272583007812
2022-05-17,17.8636417388916,169.3300018310547,401.5173034667969,111.64713287353516
2022-05-18,17.346960067749023,169.4199981689453,385.3315124511719,114.02716064453125
2022-05-19,17.8158016204834,171.91000366210938,382.97149658203125,114.30028533935547
2022-05-20,17.404373168945312,172.02999877929688,383.138671875,115.59758758544922
2022-05-23,17.260848999023438,172.8300018310547,390.3072509765625,113.69551086425781
2022-05-24,17.433074951171875,174.1300048828125,387.3277282714844,115.93899536132812
2022-05-25,17.55746078491211,173.0800018310547,390.7497253417969,116.39745330810547
2022-05-26,17.442644119262695,172.75999450683594,398.55743408203125,115.8707046508789
2022-05-27,17.117328643798828,172.85000610351562,408.3417053222656,116.15359497070312
2022-05-31,18.78217887878418,171.13999938964844,406.05047607421875,113.69551086425781
2022-06-01,17.84450340270996,172.22999572753906,402.76617431640625,113.56555938720703
2022-06-02,17.997594833374023,174.35000610351562,410.43621826171875,113.62419128417969
2022-06-03,17.547893524169922,172.5800018310547,403.7003173828125,113.3799057006836
2022-06-06,18.715200424194336,171.82000732421875,404.9294738769531,111.28876495361328
2022-06-07,18.456865310668945,172.94000244140625,408.8136291503906,112.49067687988281
2022-06-08,17.87320899963379,172.77999877929688,404.3689880371094,111.49397277832031
2022-06-09,17.78709602355957,172.22999572753906,394.7519226074219,111.86529541015625
2022-06-10,17.17473793029785,174.5399932861328,383.3058166503906,111.17151641845703
2022-06-13,13.701517105102539,169.92999267578125,368.7524108886719,107.68304443359375
2022-06-14,13.136999130249023,168.57000732421875,367.6412353515625,106.32479858398438
2022-06-15,12.82125186920166,170.77000427246094,372.8824462890625,108.30842590332031
2022-06-16,12.361983299255371,172.69000244140625,360.54150390625,109.16835021972656
2022-06-17,12.170621871948242,171.27000427246094,361.31878662109375,109.52011108398438
2022-06-21,12.390687942504883,170.6300048828125,370.4144287109375,107.66350555419922
2022-06-22,11.93142032623291,171.30999755859375,369.742919921875,110.6242904663086
